ville1,pays1,latitude1,longitude1,ville2,pays2,latitude2,longitude2,distance
Reykjavik, Islande,64.145981,-21.9422367,Manille, Philippines,14.5906346,120.9799964,10709.744323770092
Hong Kong, Chine,22.2793278,114.1628131,Johannesburg, Afrique du Sud,-26.205,28.049722,10717.04821630075
Paris, France,48.8534951,2.3483915,Singapour, Singapour,1.357107,103.8194992,10728.911218638774
Hawaï, États-Unis d'Amérique,19.5938015,-155.4283701,Santiago, Chili,-33.4377756,-70.6504502,10730.510323313309
Londres, Angleterre,51.5073219,-0.1276474,Manille, Philippines,14.5906346,120.9799964,10735.61689176043
Paris, France,48.8534951,2.3483915,Manille, Philippines,14.5906346,120.9799964,10744.57085900163
Londres, Angleterre,51.5073219,-0.1276474,Singapour, Singapour,1.357107,103.8194992,10847.374490595023
Johannesburg, Afrique du Sud,-26.205,28.049722,Reykjavik, Islande,64.145981,-21.9422367,10940.056736660787
Johannesburg, Afrique du Sud,-26.205,28.049722,Manille, Philippines,14.5906346,120.9799964,11003.09128188202
Paris, France,48.8534951,2.3483915,Buenos Aires, Argentine,-34.6037181,-58.38153,11049.677220471694
Mexico, Mexique,19.4326296,-99.1331785,Lagos, Nigéria,6.4550575,3.3941795,11069.07468967315
Singapour, Singapour,1.357107,103.8194992,Hawaï, États-Unis d'Amérique,19.5938015,-155.4283701,11081.458347480882
Hawaï, États-Unis d'Amérique,19.5938015,-155.4283701,Oslo, Norvège,59.9133301,10.7389701,11085.660761194076
Athènes, Grèce,37.9755648,23.7348324,Los Angeles, États-Unis d'Amérique,34.0536909,-118.242766,11095.414453159443
Londres, Angleterre,51.5073219,-0.1276474,Buenos Aires, Argentine,-34.6037181,-58.38153,11127.795304149238
Singapour, Singapour,1.357107,103.8194992,Lagos, Nigéria,6.4550575,3.3941795,11141.788610010784
Rio de Janeiro, Brésil,-22.9110137,-43.2093727,Vancouver, Canada,49.2608724,-123.113952,11222.828060110201
Melbourne, Australie,-37.8142454,144.9631732,Santiago, Chili,-33.4377756,-70.6504502,11278.05816678099
Mexico, Mexique,19.4326296,-99.1331785,Athènes, Grèce,37.9755648,23.7348324,11282.022627958584
Buenos Aires, Argentine,-34.6037181,-58.38153,Vancouver, Canada,49.2608724,-123.113952,11296.905960128372
Tokyo, Japon,35.6821936,139.762221,Mexico, Mexique,19.4326296,-99.1331785,11301.153649294896
Buenos Aires, Argentine,-34.6037181,-58.38153,Reykjavik, Islande,64.145981,-21.9422367,11435.717209382761
Pékin, Chine,40.190632,116.412144,Lagos, Nigéria,6.4550575,3.3941795,11448.534019958504
Singapour, Singapour,1.357107,103.8194992,Reykjavik, Islande,64.145981,-21.9422367,11508.818136991033
Melbourne, Australie,-37.8142454,144.9631732,Buenos Aires, Argentine,-34.6037181,-58.38153,11609.736896697668
Paris, France,48.8534951,2.3483915,Santiago, Chili,-33.4377756,-70.6504502,11646.31607340506
Hong Kong, Chine,22.2793278,114.1628131,Los Angeles, États-Unis d'Amérique,34.0536909,-118.242766,11653.0514411503
Reykjavik, Islande,64.145981,-21.9422367,Santiago, Chili,-33.4377756,-70.6504502,11655.171301777234
Londres, Angleterre,51.5073219,-0.1276474,Santiago, Chili,-33.4377756,-70.6504502,11670.740340846687
Athènes, Grèce,37.9755648,23.7348324,Buenos Aires, Argentine,-34.6037181,-58.38153,11686.209139121996
Johannesburg, Afrique du Sud,-26.205,28.049722,Pékin, Chine,40.190632,116.412144,11718.796340833916
Los Angeles, États-Unis d'Amérique,34.0536909,-118.242766,Manille, Philippines,14.5906346,120.9799964,11744.147721890362
Londres, Angleterre,51.5073219,-0.1276474,Hawaï, États-Unis d'Amérique,19.5938015,-155.4283701,11751.008681387362
Hong Kong, Chine,22.2793278,114.1628131,Lagos, Nigéria,6.4550575,3.3941795,11838.309691761897
Hawaï, États-Unis d'Amérique,19.5938015,-155.4283701,Buenos Aires, Argentine,-34.6037181,-58.38153,11852.627343634733
Berlin, Allemagne,52.5170365,13.3888599,Buenos Aires, Argentine,-34.6037181,-58.38153,11908.43198128038
Berlin, Allemagne,52.5170365,13.3888599,Hawaï, États-Unis d'Amérique,19.5938015,-155.4283701,11923.990273091322
Lagos, Nigéria,6.4550575,3.3941795,Vancouver, Canada,49.2608724,-123.113952,11952.89190428753
Mexico, Mexique,19.4326296,-99.1331785,Séoul, Corée du Sud,37.5666791,126.9782914,12051.60451833363
Montréal, Canada,45.5031824,-73.5698065,Mumbai, Inde,18.9733536,72.8281049,12083.633247979813
Paris, France,48.8534951,2.3483915,Hawaï, États-Unis d'Amérique,19.5938015,-155.4283701,12091.578250967541
Buenos Aires, Argentine,-34.6037181,-58.38153,Oslo, Norvège,59.9133301,10.7389701,12247.050352928693
Mumbai, Inde,18.9733536,72.8281049,Vancouver, Canada,49.2608724,-123.113952,12265.761684029096
Lagos, Nigéria,6.4550575,3.3941795,Séoul, Corée du Sud,37.5666791,126.9782914,12402.587418835017
Lagos, Nigéria,6.4550575,3.3941795,Los Angeles, États-Unis d'Amérique,34.0536909,-118.242766,12414.497840469185
Mexico, Mexique,19.4326296,-99.1331785,Pékin, Chine,40.190632,116.412144,12432.116329831528
Hong Kong, Chine,22.2793278,114.1628131,Montréal, Canada,45.5031824,-73.5698065,12437.482348876572
Johannesburg, Afrique du Sud,-26.205,28.049722,Séoul, Corée du Sud,37.5666791,126.9782914,12488.20559287133
Berlin, Allemagne,52.5170365,13.3888599,Santiago, Chili,-33.4377756,-70.6504502,12522.157573900096
Athènes, Grèce,37.9755648,23.7348324,Santiago, Chili,-33.4377756,-70.6504502,12555.545585397505
Santiago, Chili,-33.4377756,-70.6504502,Oslo, Norvège,59.9133301,10.7389701,12728.067351837504
Lagos, Nigéria,6.4550575,3.3941795,Manille, Philippines,14.5906346,120.9799964,12747.843740447337
Melbourne, Australie,-37.8142454,144.9631732,Los Angeles, États-Unis d'Amérique,34.0536909,-118.242766,12774.29368394079
Singapour, Singapour,1.357107,103.8194992,Vancouver, Canada,49.2608724,-123.113952,12822.250130712175
Montréal, Canada,45.5031824,-73.5698065,Johannesburg, Afrique du Sud,-26.205,28.049722,12921.745463553518
Rio de Janeiro, Brésil,-22.9110137,-43.2093727,Hawaï, États-Unis d'Amérique,19.5938015,-155.4283701,13043.513594820553
Montréal, Canada,45.5031824,-73.5698065,Manille, Philippines,14.5906346,120.9799964,13174.208618527597
Melbourne, Australie,-37.8142454,144.9631732,Rio de Janeiro, Brésil,-22.9110137,-43.2093727,13208.898006197434
Melbourne, Australie,-37.8142454,144.9631732,Vancouver, Canada,49.2608724,-123.113952,13210.593293220092
Hawaï, États-Unis d'Amérique,19.5938015,-155.4283701,Mumbai, Inde,18.9733536,72.8281049,13227.273050462782
Rio de Janeiro, Brésil,-22.9110137,-43.2093727,Mumbai, Inde,18.9733536,72.8281049,13409.322578028068
Tokyo, Japon,35.6821936,139.762221,Lagos, Nigéria,6.4550575,3.3941795,13481.124490086204
Tokyo, Japon,35.6821936,139.762221,Johannesburg, Afrique du Sud,-26.205,28.049722,13545.244562641237
Mexico, Mexique,19.4326296,-99.1331785,Melbourne, Australie,-37.8142454,144.9631732,13562.165630868956
Hawaï, États-Unis d'Amérique,19.5938015,-155.4283701,Athènes, Grèce,37.9755648,23.7348324,13613.067528207535
Mumbai, Inde,18.9733536,72.8281049,Los Angeles, États-Unis d'Amérique,34.0536909,-118.242766,14003.256800000236
Singapour, Singapour,1.357107,103.8194992,Los Angeles, États-Unis d'Amérique,34.0536909,-118.242766,14120.58083406356
Hong Kong, Chine,22.2793278,114.1628131,Mexico, Mexique,19.4326296,-99.1331785,14133.23466615381
Mexico, Mexique,19.4326296,-99.1331785,Manille, Philippines,14.5906346,120.9799964,14220.63973053759
